geo_description,year,estimate,moe,se,cv,type,subtype
Guilford,2018,0.45687260883629105,0.05439756433837145,0.027753859356311965,6.074747931815031,Race / Ethnicity,"Black, non-Hispanic"
Guilford,2018,0.5583516757811614,0.12293095750327954,0.06271987627718344,11.233041646993403,Race / Ethnicity,Hispanic / Latino
Guilford,2018,0.1888784511570288,0.02588085000848677,0.013204515310452435,6.991012065995041,Race / Ethnicity,"White, non-Hispanic"
Halifax,2018,0.5402443632699332,0.07631559138794901,0.03893652621834133,7.207206380214778,Race / Ethnicity,"Black, non-Hispanic"
Halifax,2018,0.49741290100034496,0.26315196737038204,0.13426120784203166,26.991903019004837,Race / Ethnicity,Hispanic / Latino
Halifax,2018,0.32017646905265357,0.060009621527082196,0.03061715384034806,9.562587135444053,Race / Ethnicity,"White, non-Hispanic"
Harnett,2018,0.4802601971934705,0.11874121078883051,0.06058225040246455,12.61446415016135,Race / Ethnicity,"Black, non-Hispanic"
Harnett,2018,0.3866258942995615,0.16885622153351262,0.08615113343546563,22.28281517241442,Race / Ethnicity,Hispanic / Latino
Harnett,2018,0.21922002186854575,0.04256007948263416,0.021714326266650083,9.905265988738462,Race / Ethnicity,"White, non-Hispanic"
Henderson,2018,0.3873992124507782,0.24812641566552016,0.12659511003342866,32.67820531501815,Race / Ethnicity,"Black, non-Hispanic"
Henderson,2018,0.619359756097561,0.2303523906208622,0.11752672990860318,18.9755192764075,Race / Ethnicity,Hispanic / Latino
Henderson,2018,0.25983469791626246,0.039233957493543845,0.020017325251808084,7.70386919542944,Race / Ethnicity,"White, non-Hispanic"
Hoke,2018,0.49559636076606706,0.07781169146697257,0.03969984258519009,8.010519391995564,Race / Ethnicity,"Black, non-Hispanic"
Hoke,2018,0.6244613550930596,0.15253301758197185,0.07782296815406728,12.46241541119383,Race / Ethnicity,Hispanic / Latino
Hoke,2018,0.2616126830971387,0.0489679370872197,0.02498364137103046,9.549858621248058,Race / Ethnicity,"White, non-Hispanic"
Iredell,2018,0.505056717233839,0.12146549499461558,0.06197219132378346,12.270342955381505,Race / Ethnicity,"Black, non-Hispanic"
Iredell,2018,0.45465938590994537,0.1636825808314961,0.08351152083239596,18.367930679635663,Race / Ethnicity,Hispanic / Latino
Iredell,2018,0.15037293669193433,0.03371748527694849,0.017202798610688005,11.440089546120253,Race / Ethnicity,"White, non-Hispanic"
Johnston,2018,0.5326932139491046,0.1605483235804878,0.08191240999004479,15.377032754517309,Race / Ethnicity,"Black, non-Hispanic"
Johnston,2018,0.56446546429958,0.1346336364493576,0.06869063084150899,12.16914677441677,Race / Ethnicity,Hispanic / Latino
Johnston,2018,0.23416333565587297,0.05405381591699031,0.027578477508668525,11.7774533025947,Race / Ethnicity,"White, non-Hispanic"
Jones,2018,0.4281305887716099,0.09160225143625293,0.0467358425695168,10.916258682569504,Race / Ethnicity,"Black, non-Hispanic"
Jones,2018,0.335032872668724,0.1790544946528885,0.09135433400657576,27.267274783780906,Race / Ethnicity,Hispanic / Latino
Jones,2018,0.29368809418104436,0.08912339455495882,0.04547111967089736,15.482792994280063,Race / Ethnicity,"White, non-Hispanic"
