year,fmr1,fmr2,fmr3,fmr4,countyname
2015,685,847,1117,1274,Brunswick
2015,723,857,1100,1426,Buncombe
2015,533,632,827,1028,Burke
2015,701,831,1120,1389,Cabarrus
2015,533,632,827,1028,Caldwell
2015,647,808,1006,1216,Camden
2015,691,819,1171,1451,Carteret
2015,467,632,904,979,Caswell
2015,533,632,827,1028,Catawba
2015,737,874,1127,1320,Chatham
2015,467,632,835,1073,Cherokee
2015,533,632,838,1119,Chowan
2015,533,632,931,1119,Clay
2015,501,632,877,917,Cleveland
2015,516,632,787,845,Columbus
2015,562,761,987,1328,Craven
2015,605,774,1035,1303,Cumberland
2015,920,1107,1530,1926,Currituck
2015,653,883,1239,1480,Dare
2015,502,632,880,996,Davidson
2015,561,687,991,1046,Davie
2015,502,632,787,923,Duplin
2015,737,874,1127,1320,Durham
2015,533,659,899,948,Edgecombe
2015,561,687,991,1046,Forsyth
2015,774,918,1189,1477,Franklin
2015,701,831,1120,1389,Gaston
2015,506,632,840,1111,Gates
2015,467,632,931,1119,Graham
2015,572,681,848,925,Granville
2015,467,632,793,845,Greene
2015,594,704,957,1080,Guilford
2015,534,645,841,1138,Halifax
2015,515,697,927,1137,Harnett
2015,629,811,1125,1436,Haywood
2015,723,857,1100,1426,Henderson
2015,533,632,787,1119,Hertford
2015,494,632,879,1090,Hoke
2015,623,779,970,1041,Hyde
2015,609,722,937,1276,Iredell
2015,511,654,848,1065,Jackson
2015,774,918,1189,1477,Johnston
2015,533,632,828,845,Jones
2015,593,703,876,939,Lee
2015,493,644,802,881,Lenoir
2015,533,632,861,864,Lincoln
2015,467,632,789,1034,McDowell
2015,535,724,902,968,Macon
2015,723,857,1100,1426,Madison
2015,533,632,787,845,Martin
2015,701,831,1120,1389,Mecklenburg
2015,467,632,813,951,Mitchell
2015,499,632,829,949,Montgomery
2015,657,790,1158,1393,Moore
2015,533,659,899,948,Nash
2015,685,847,1117,1274,New Hanover
2015,473,632,843,1084,Northampton
2015,629,773,1087,1369,Onslow
2015,737,874,1127,1320,Orange
2015,467,632,902,1106,Pamlico
2015,622,782,1051,1233,Pasquotank
2015,497,672,990,1120,Pender
2015,569,675,995,1196,Perquimans
2015,490,663,826,950,Person
2015,533,689,934,1220,Pitt
2015,551,728,907,1210,Polk
2015,594,704,957,1080,Randolph
2015,533,632,837,845,Richmond
2015,485,632,802,973,Robeson
2015,500,632,787,845,Rockingham
2015,524,678,903,1041,Rowan
2015,533,632,896,1052,Rutherford
2015,509,632,853,981,Sampson
2015,490,663,848,886,Scotland
2015,480,632,873,1103,Stanly
2015,561,687,991,1046,Stokes
2015,533,632,931,1119,Surry
2015,477,646,805,974,Swain
2015,498,652,868,872,Transylvania
2015,533,632,809,951,Tyrrell
2015,701,831,1120,1389,Union
2015,486,657,818,958,Vance
2015,774,918,1189,1477,Wake
2015,480,632,931,1119,Warren
