SERIALNO,SPORDER,year,total_taxes
12764,1,2018,-3241
12784,1,2018,0
12830,1,2018,-71
12831,1,2018,0
12930,3,2018,6637
12930,4,2018,2088
12930,1,2018,14235
12960,1,2018,5215
12987,1,2018,11633
13018,1,2018,0
13028,3,2018,953
13028,1,2018,0
13057,1,2018,0
13114,1,2018,71854
13117,1,2018,-71
13117,1,2018,4063
13122,1,2018,5762
13131,1,2018,0
13150,2,2018,14542
13150,1,2018,0
13241,1,2018,34997
13248,1,2018,2296
13324,1,2018,49409
13365,1,2018,5762
13381,1,2018,5762
13396,1,2018,0
13441,1,2018,6637
13465,1,2018,798
13526,1,2018,0
13537,1,2018,1878
13560,1,2018,18667
13578,1,2018,1609
13580,1,2018,43
13588,1,2018,0
13592,1,2018,3756
13608,1,2018,18085
13631,1,2018,0
13632,1,2018,117479
13655,1,2018,7032
13686,2,2018,6287
13686,1,2018,24852
13733,2,2018,-519
13733,1,2018,4887
13752,1,2018,6458
13759,4,2018,2088
13759,1,2018,-8003
13782,1,2018,0
13826,1,2018,2525
13904,1,2018,8988
13959,2,2018,-439
13959,1,2018,0
13964,1,2018,-55
13972,1,2018,0
13984,1,2018,12645
13988,1,2018,0
14035,1,2018,-3857
14061,1,2018,78179
14105,1,2018,-198
14244,1,2018,1573
14265,1,2018,10233
14317,1,2018,4012
14333,1,2018,3296
14358,1,2018,13275
14469,1,2018,391
14501,1,2018,24852
14553,3,2018,-183
14553,1,2018,-61
14580,1,2018,11525
14650,1,2018,0
14676,1,2018,0
14701,1,2018,4012
14716,1,2018,622
14753,1,2018,0
14767,1,2018,1418
14778,1,2018,21435
14818,1,2018,0
14850,1,2018,-459
14883,1,2018,0
14898,1,2018,2263
14913,1,2018,14267
14915,1,2018,2928
14916,1,2018,0
14983,1,2018,2718
15000,1,2018,0
15019,2,2018,-382
15019,1,2018,1418
15026,1,2018,1738
15027,2,2018,-334
15027,1,2018,7117
15042,1,2018,20355
15051,1,2018,0
15055,1,2018,0
15071,1,2018,0
15075,1,2018,68
15076,1,2018,123
15080,1,2018,0
15091,1,2018,31010
15120,3,2018,3138
15120,1,2018,0
15148,1,2018,2088
15200,1,2018,2527
15201,1,2018,0
15265,1,2018,2088
15266,1,2018,-459
15287,1,2018,0
15332,1,2018,0
15335,1,2018,0
15391,2,2018,-382
15391,1,2018,10142
15409,1,2018,810
15415,1,2018,0
15446,1,2018,8393
15448,1,2018,-387
15451,1,2018,57
15462,1,2018,10136
15552,1,2018,-71
15566,1,2018,0
15578,1,2018,12575
15581,1,2018,13013
15673,1,2018,0
15683,1,2018,0
15723,1,2018,0
15726,1,2018,0
15813,1,2018,0
15843,3,2018,5937
15843,1,2018,0
15865,1,2018,0
15881,2,2018,3488
15881,1,2018,5412
15907,1,2018,-519
15939,1,2018,0
15945,4,2018,2210
15945,1,2018,-4575
15995,1,2018,0
16013,1,2018,-8306
16024,1,2018,0
16028,2,2018,-504
16028,1,2018,16742
16039,1,2018,18635
16065,1,2018,-71
16071,1,2018,-6510
16074,1,2018,1668
16095,1,2018,0
16130,1,2018,0
16156,1,2018,3296
16165,1,2018,0
16177,1,2018,0
16207,1,2018,0
16219,1,2018,3138
16260,2,2018,-91
16260,3,2018,7117
16260,1,2018,0
16278,1,2018,0
16284,1,2018,2788
16326,1,2018,31866
16366,1,2018,96
16398,1,2018,0
16406,1,2018,2837
16409,1,2018,-5520
16412,1,2018,0
16420,1,2018,0
16434,3,2018,-334
16434,1,2018,-334
16440,1,2018,2088
16453,1,2018,0
16490,1,2018,1738
16504,1,2018,-519
16548,2,2018,1418
16548,3,2018,1913
16548,1,2018,953
16553,1,2018,16160
16560,1,2018,-153
16629,1,2018,9809
16693,1,2018,16192
16718,1,2018,0
16782,1,2018,0
16815,1,2018,2613
16862,1,2018,-6850
16895,1,2018,-4525
16905,1,2018,2455
16907,1,2018,13275
16932,1,2018,-1825
16965,1,2018,39379
16979,1,2018,11350
16984,1,2018,26885
16990,1,2018,0
17032,1,2018,2263
17056,1,2018,-130
17067,1,2018,26885
17104,1,2018,0
17109,1,2018,9809
17118,1,2018,2088
17137,1,2018,2088
17137,3,2018,1418
17137,1,2018,1397
17167,1,2018,0
17209,1,2018,0
17211,1,2018,-382
17220,1,2018,5757
17224,1,2018,8767
17229,1,2018,-6510
17237,1,2018,1000
17255,1,2018,0
17288,1,2018,12342
17311,1,2018,0
17329,1,2018,2438
17345,1,2018,38354
17365,1,2018,-4239
17408,1,2018,35217
17409,1,2018,0
17426,1,2018,33574
17434,1,2018,1108
17442,1,2018,3138
17466,1,2018,-137
17467,1,2018,5636
17487,1,2018,0
17499,3,2018,-163
17499,1,2018,2209
17508,1,2018,-35
17524,3,2018,1418
17524,1,2018,6630
17529,1,2018,0
17642,1,2018,0
17668,1,2018,20760
17687,1,2018,-501
17733,1,2018,0
17741,1,2018,9867
17750,1,2018,0
17764,1,2018,5762
17779,1,2018,0
17784,1,2018,13275
17815,1,2018,-412
17858,1,2018,0
17867,1,2018,11691
17882,1,2018,953
17920,1,2018,2158
17941,1,2018,0
17946,1,2018,0
17952,1,2018,43279
18001,2,2018,622
18001,1,2018,0
18016,1,2018,129527
18055,1,2018,17620
18094,1,2018,0
18137,1,2018,4800
18177,1,2018,0
18184,1,2018,1573
18230,1,2018,9867
18248,1,2018,45574
18263,1,2018,6287
18289,2,2018,3488
18289,1,2018,0
18292,1,2018,22787
18308,1,2018,7571
18312,1,2018,0
18357,1,2018,10103
18425,3,2018,10692
18425,1,2018,0
18470,1,2018,10340
18484,1,2018,0
18499,1,2018,1573
18516,2,2018,60106
18516,1,2018,23377
18560,1,2018,3243
18585,1,2018,46
18589,1,2018,134506
18619,3,2018,2980
18619,1,2018,2015
18624,1,2018,1418
18674,1,2018,0
18684,1,2018,0
18691,1,2018,2837
18710,1,2018,2059
18752,1,2018,0
18778,1,2018,2770
18785,1,2018,0
18808,1,2018,0
18810,1,2018,0
18829,1,2018,0
18862,1,2018,0
18885,1,2018,-4796
18898,1,2018,0
18935,1,2018,0
19012,1,2018,-153
19080,1,2018,0
19110,1,2018,1294
19121,1,2018,1167
19128,1,2018,0
19133,1,2018,1738
19184,1,2018,3460
19209,3,2018,5937
19209,1,2018,11155
19260,1,2018,14949
19291,1,2018,63
19317,1,2018,0
19362,1,2018,-5788
19379,1,2018,-91
19385,1,2018,0
