"","SERIALNO","SPORDER","year","total_taxes"
"312",9169,1,2011,43726
"313",9234,1,2011,737
"314",9256,3,2011,4799
"315",9256,1,2011,15487
"316",9296,1,2011,12593
"317",9312,1,2011,1569
"318",9334,1,2011,25104
"319",9336,1,2011,0
"320",9458,1,2011,11789
"321",9487,2,2011,-52
"322",9487,1,2011,0
"323",9522,1,2011,-1801
"324",9535,1,2011,58129
"325",9545,1,2011,-2293
"326",9549,1,2011,17235
"327",9574,1,2011,22335
"328",9654,1,2011,73
"329",9672,1,2011,0
"330",9702,1,2011,0
"331",9724,1,2011,0
"332",9796,1,2011,0
"333",9814,1,2011,0
"334",9881,1,2011,0
"335",9921,1,2011,3567
"336",9937,1,2011,0
"337",9946,1,2011,27443
"338",9986,1,2011,0
"339",10023,2,2011,4799
"340",10023,1,2011,0
"341",10042,1,2011,553
"342",10055,3,2011,16462
"343",10055,1,2011,0
"344",10111,1,2011,4513
"345",10114,2,2011,-56
"346",10114,1,2011,-19
"347",10121,1,2011,0
"348",10126,3,2011,1166
"349",10126,1,2011,48132
"350",10168,1,2011,0
"351",10170,1,2011,6805
"352",10194,1,2011,4852
"353",10251,1,2011,0
"354",10297,1,2011,26414
"355",10302,1,2011,9642
"356",10317,1,2011,3102
"357",10344,1,2011,205738
"358",10349,1,2011,1611
"359",10350,1,2011,10906
"360",10354,2,2011,-16
"361",10354,1,2011,3081
"362",10368,1,2011,0
"363",10386,2,2011,5544
"364",10386,3,2011,6576
"365",10386,1,2011,0
"366",10451,1,2011,0
"367",10491,1,2011,22133
"368",10525,1,2011,14410
"369",10620,1,2011,28136
"370",10622,1,2011,0
"371",10704,1,2011,4336
"372",10786,1,2011,14810
"373",10798,1,2011,0
"374",10803,1,2011,5966
"375",10965,1,2011,0
"376",10988,3,2011,4227
"377",10988,1,2011,0
"378",11024,1,2011,-6228
"379",11143,1,2011,1526
"380",11169,1,2011,671
"381",11175,1,2011,-3141
"382",11218,1,2011,0
"383",11228,4,2011,27443
"384",11228,1,2011,11871
"385",11299,1,2011,0
"386",11350,1,2011,466
"387",11385,1,2011,27932
"388",11413,1,2011,9785
"389",11413,3,2011,6232
"390",11413,4,2011,3367
"391",11452,1,2011,0
"392",11519,1,2011,-2546
"393",11639,1,2011,0
"394",11671,3,2011,4198
"395",11671,1,2011,3102
"396",11777,1,2011,9772
"397",11874,1,2011,944
"398",11909,1,2011,0
"399",11926,1,2011,6232
"400",12050,1,2011,5659
"401",12083,2,2011,2118
"402",12083,1,2011,1151
"403",12159,1,2011,18523
"404",12167,2,2011,10949
"405",12167,1,2011,255
"406",12235,1,2011,0
"407",12256,3,2011,568
"408",12256,1,2011,5803
"409",12303,1,2011,145
"410",12324,3,2011,-70
"411",12324,1,2011,8811
"412",12330,1,2011,0
"413",12331,1,2011,31073
"414",12336,1,2011,42136
"415",12350,1,2011,16495
"416",12367,1,2011,1028
"417",12370,1,2011,4055
"418",12441,1,2011,12999
"419",12484,1,2011,0
"420",12559,3,2011,985
"421",12559,1,2011,25237
"422",12574,2,2011,5659
"423",12574,1,2011,0
"424",12618,1,2011,13969
"425",12618,3,2011,682
"426",12626,1,2011,691
"427",12659,1,2011,0
"428",12710,1,2011,0
"429",12750,1,2011,140
"430",12833,1,2011,5373
"431",12858,3,2011,1611
"432",12858,4,2011,3940
"433",12858,1,2011,0
"434",12885,1,2011,321
"435",12886,1,2011,0
"436",12895,1,2011,1444
"437",12928,1,2011,0
"438",12995,1,2011,24972
"439",13016,1,2011,8819
"440",13027,1,2011,3653
"441",13048,1,2011,-7342
"442",13097,1,2011,16462
"443",13168,1,2011,39054
"444",13196,1,2011,0
"445",13216,1,2011,3567
"446",13226,1,2011,12870
"447",13230,1,2011,0
"448",13248,1,2011,0
"449",13259,1,2011,0
"450",13265,1,2011,-581
"451",13276,1,2011,0
"452",13311,1,2011,4083
"453",13321,1,2011,0
"454",13333,1,2011,27037
"455",13395,1,2011,48
"456",13397,1,2011,0
"457",13418,1,2011,-1417
